"統計期","平均氣溫[0C]","平均相對溼度[%]","日照時數[小時]","降水量[毫米]","降水日數[日]"
"87年 1月",21.8,81,1695.1,2020.8,155
"87年 2月",21.8,83,1563.3,2550.5,181
"87年 3月",22.1,83,1506.9,2436.3,214
"87年 4月",22.1,80,1707.2,1462.9,166
"87年 5月",22.1,81,1581.9,2422.5,157
"87年 6月",22.5,81,1463.3,1794.8,184
"87年 7月",22.2,81,1476.2,2366.8,192
"87年 8月",22.3,79,1459.7,2409.9,188
"87年 9月",22.1,75,1561.7,1620.3,144
"87年 10月",23.0,76,1679.5,2486.7,153
"87年 11月",22.4,77,1479.8,2018.8,170
"87年 12月",22.2,78,1547.6,2333.6,163
"88年 1月",22.5,77,1463.6,2161.6,160
"88年 2月",22.4,78,1415.4,2289.9,151
"88年 3月",22.4,79,1476.3,2046.9,160
"88年 4月",22.7,80,1356.3,2252.0,183
"88年 5月",22.0,82,1252.8,2711.3,213
"88年 6月",23.2,82,1291.7,2487.9,184
"88年 7月",22.4,77,1424.7,2605.6,164
"88年 8月",23.0,77,1387.4,2219.1,153
"88年 9月",23.1,77,1310.7,2816.6,170
"88年 10月",23.1,78,1352.9,2268.6,164
"88年 11月",23.5,74,1387.3,2913.0,159
"88年 12月",23.5,73,1342.5,2215.9,157
"89年 1月",22.3,77,1311.4,2391.9,184
"89年 2月",22.7,76,1463.0,1740.5,165
"89年 3月",23.2,75,1451.7,2043.7,150
"89年 4月",22.3,74,1365.2,1716.7,157
"89年 5月",22.5,75,1559.4,2253.1,169
"89年 6月",22.5,78,1361.6,2595.0,157
"89年 7月",23.6,78,1186.7,4404.7,201
"89年 8月",23.0,77,1139.1,1958.1,163
"89年 9月",23.2,78,983.1,2744.0,174
"89年 10月",23.3,77,1496.6,2862.1,174
"89年 11月",23.8,76,1623.8,1346.4,136
"89年 12月",23.5,76,1657.5,1192.5,127

